distribution, run, score, time_seconds, random_seed
cluster, 1, 17.000000, 720.000000, 131672
cluster, 2, 12.000000, 720.000000, 374085
cluster, 3, 15.000000, 720.000000, 178152
cluster, 4, 11.000000, 720.000000, 94191
cluster, 5, 12.000000, 720.000000, 573397
cluster, 6, 14.000000, 720.000000, 858195
cluster, 7, 19.000000, 720.000000, 60768
cluster, 8, 10.000000, 720.000000, 324477
cluster, 9, 11.000000, 720.000000, 684540
cluster, 10, 12.000000, 720.000000, 537368
cluster, 11, 13.000000, 720.000000, 834599
cluster, 12, 15.000000, 720.000000, 132184
cluster, 13, 16.000000, 720.000000, 497590
cluster, 14, 13.000000, 720.000000, 157205
cluster, 15, 11.000000, 720.000000, 854982
cluster, 16, 12.000000, 720.000000, 89010
cluster, 17, 20.000000, 720.000000, 931398
cluster, 18, 14.000000, 720.000000, 456737
cluster, 19, 17.000000, 720.000000, 239581
cluster, 20, 18.000000, 720.000000, 585396
cluster, 21, 16.000000, 720.000000, 585050
cluster, 22, 17.000000, 720.000000, 483456
cluster, 23, 11.000000, 720.000000, 54240
cluster, 24, 10.000000, 720.000000, 877450
cluster, 25, 14.000000, 720.000000, 528969
cluster, 26, 12.000000, 720.000000, 175399
cluster, 27, 13.000000, 720.000000, 537109
cluster, 28, 13.000000, 720.000000, 120880
cluster, 29, 11.000000, 720.000000, 329195
cluster, 30, 16.000000, 720.000000, 687719
cluster, 31, 12.000000, 720.000000, 17071
cluster, 32, 12.000000, 720.000000, 780115
cluster, 33, 14.000000, 720.000000, 283973
cluster, 34, 18.000000, 720.000000, 14115
cluster, 35, 9.000000, 720.000000, 582620
cluster, 36, 13.000000, 720.000000, 495567
cluster, 37, 23.000000, 720.000000, 890265
cluster, 38, 21.000000, 720.000000, 625039
cluster, 39, 16.000000, 720.000000, 535854
cluster, 40, 12.000000, 720.000000, 330437
cluster, 41, 16.000000, 720.000000, 82684
cluster, 42, 15.000000, 720.000000, 301287
cluster, 43, 19.000000, 720.000000, 48085
cluster, 44, 18.000000, 720.000000, 211054
cluster, 45, 18.000000, 720.000000, 266853
cluster, 46, 15.000000, 720.000000, 780396
cluster, 47, 17.000000, 720.000000, 672469
cluster, 48, 13.000000, 720.000000, 285258
cluster, 49, 10.000000, 720.000000, 809595
cluster, 50, 17.000000, 720.000000, 658222
