distribution, run, score, time_seconds, random_seed
powerlaw, 1, 11.000000, 720.000000, 52637
powerlaw, 2, 10.000000, 720.000000, 341528
powerlaw, 3, 12.000000, 720.000000, 2630
powerlaw, 4, 18.000000, 720.000000, 396827
powerlaw, 5, 12.000000, 720.000000, 408885
powerlaw, 6, 11.000000, 720.000000, 244139
powerlaw, 7, 10.000000, 720.000000, 422281
powerlaw, 8, 14.000000, 720.000000, 525765
powerlaw, 9, 18.000000, 720.000000, 5748
powerlaw, 10, 19.000000, 720.000000, 626991
powerlaw, 11, 13.000000, 720.000000, 766589
powerlaw, 12, 14.000000, 720.000000, 35435
powerlaw, 13, 9.000000, 720.000000, 854900
powerlaw, 14, 19.000000, 720.000000, 186523
powerlaw, 15, 11.000000, 720.000000, 939460
powerlaw, 16, 20.000000, 720.000000, 778885
powerlaw, 17, 18.000000, 720.000000, 899876
powerlaw, 18, 10.000000, 720.000000, 792743
powerlaw, 19, 19.000000, 720.000000, 377351
powerlaw, 20, 16.000000, 720.000000, 990307
powerlaw, 21, 16.000000, 720.000000, 804715
powerlaw, 22, 26.000000, 720.000000, 481337
powerlaw, 23, 24.000000, 720.000000, 463230
powerlaw, 24, 10.000000, 720.000000, 990861
powerlaw, 25, 13.000000, 720.000000, 110257
powerlaw, 26, 20.000000, 720.000000, 85185
powerlaw, 27, 17.000000, 720.000000, 961275
powerlaw, 28, 15.000000, 720.000000, 978892
powerlaw, 29, 15.000000, 720.000000, 845666
powerlaw, 30, 13.000000, 720.000000, 64974
powerlaw, 31, 14.000000, 720.000000, 338926
powerlaw, 32, 11.000000, 720.000000, 18809
powerlaw, 33, 6.000000, 720.000000, 99738
powerlaw, 34, 15.000000, 720.000000, 971578
powerlaw, 35, 16.000000, 720.000000, 386106
powerlaw, 36, 13.000000, 720.000000, 362353
powerlaw, 37, 7.000000, 720.000000, 591816
powerlaw, 38, 16.000000, 720.000000, 865954
powerlaw, 39, 20.000000, 720.000000, 963442
powerlaw, 40, 20.000000, 720.000000, 890252
powerlaw, 41, 14.000000, 720.000000, 179219
powerlaw, 42, 20.000000, 720.000000, 245937
powerlaw, 43, 13.000000, 720.000000, 671976
powerlaw, 44, 24.000000, 720.000000, 158127
powerlaw, 45, 14.000000, 720.000000, 546126
powerlaw, 46, 19.000000, 720.000000, 549927
powerlaw, 47, 11.000000, 720.000000, 820577
powerlaw, 48, 11.000000, 720.000000, 850905
powerlaw, 49, 15.000000, 720.000000, 168738
powerlaw, 50, 11.000000, 720.000000, 583952
