distribution, run, score, time_seconds, random_seed
random, 1, 22.000000, 720.000000, 78386
random, 2, 13.000000, 720.000000, 274220
random, 3, 19.000000, 720.000000, 754709
random, 4, 19.000000, 720.000000, 409718
random, 5, 17.000000, 720.000000, 576913
random, 6, 24.000000, 720.000000, 950235
random, 7, 24.000000, 720.000000, 537411
random, 8, 13.000000, 720.000000, 382984
random, 9, 18.000000, 720.000000, 343147
random, 10, 17.000000, 720.000000, 572518
random, 11, 13.000000, 720.000000, 766210
random, 12, 18.000000, 720.000000, 5466
random, 13, 15.000000, 720.000000, 172646
random, 14, 17.000000, 720.000000, 16511
random, 15, 15.000000, 720.000000, 801357
random, 16, 19.000000, 720.000000, 634350
random, 17, 10.000000, 720.000000, 688805
random, 18, 13.000000, 720.000000, 559038
random, 19, 20.000000, 720.000000, 234127
random, 20, 15.000000, 720.000000, 585723
random, 21, 23.000000, 720.000000, 371384
random, 22, 17.000000, 720.000000, 631949
random, 23, 14.000000, 720.000000, 324566
random, 24, 15.000000, 720.000000, 949764
random, 25, 15.000000, 720.000000, 422707
random, 26, 18.000000, 720.000000, 312531
random, 27, 21.000000, 720.000000, 797839
random, 28, 16.000000, 720.000000, 977024
random, 29, 11.000000, 720.000000, 412831
random, 30, 20.000000, 720.000000, 798758
random, 31, 14.000000, 720.000000, 21579
random, 32, 18.000000, 720.000000, 31350
random, 33, 13.000000, 720.000000, 252740
random, 34, 12.000000, 720.000000, 583623
random, 35, 17.000000, 720.000000, 568538
random, 36, 15.000000, 720.000000, 634108
random, 37, 22.000000, 720.000000, 959117
random, 38, 12.000000, 720.000000, 488672
random, 39, 15.000000, 720.000000, 789731
random, 40, 18.000000, 720.000000, 490802
random, 41, 13.000000, 720.000000, 432577
random, 42, 29.000000, 720.000000, 102669
random, 43, 18.000000, 720.000000, 665135
random, 44, 16.000000, 720.000000, 574846
random, 45, 17.000000, 720.000000, 671576
random, 46, 20.000000, 720.000000, 605492
random, 47, 11.000000, 720.000000, 132586
random, 48, 18.000000, 720.000000, 3461
random, 49, 14.000000, 720.000000, 348852
random, 50, 19.000000, 720.000000, 934825
